ID_CLIENTE_RAW,NOMBRE_COMPLETO_TXT,UBICACION_CIUDAD,EDAD_USUARIO,ID_TX,ID_CLI,FECHA,CAT,MTO
1,Benjamín Pérez,Concepción,22.747458071860137,1409.0,1.0,2025-04-29,Moda,3449.082522326118
1,Benjamín Pérez,Concepción,22.747458071860137,1482.0,1.0,2025-09-21,Hogar,3853.139214345018
1,Benjamín Pérez,Concepción,22.747458071860137,1488.0,1.0,2025-01-15,Hogar,5129.606737983052
1,Benjamín Pérez,Concepción,22.747458071860137,1949.0,1.0,2025-01-11,Deportes,4558.593078370172
2,Camila González,La Serena,35.6260798238904,1739.0,2.0,2025-04-26,Deportes,2946.221064448748
2,Camila González,La Serena,35.6260798238904,1913.0,2.0,2025-10-10,Electrónica,9729.195526065601
2,Camila González,La Serena,35.6260798238904,1996.0,2.0,2025-08-21,Moda,3738.334395644827
3,Sofía Muñoz,Santiago,31.713793933445157,381.0,3.0,2025-10-14,Electrónica,5172.222213638142
3,Sofía Muñoz,Santiago,31.713793933445157,773.0,3.0,2025-10-05,Hogar,4672.141940450114
3,Sofía Muñoz,Santiago,31.713793933445157,845.0,3.0,2025-07-09,Hogar,3865.200136483404
3,Sofía Muñoz,Santiago,31.713793933445157,846.0,3.0,2025-07-09,Moda,4506.822230242055
3,Sofía Muñoz,Santiago,31.713793933445157,901.0,3.0,2025-06-21,Moda,9389.467404803501
3,Sofía Muñoz,Santiago,31.713793933445157,1237.0,3.0,2025-08-11,Electrónica,3599.171909527873
3,Sofía Muñoz,Santiago,31.713793933445157,1294.0,3.0,2025-09-05,Deportes,7087.816927234701
3,Sofía Muñoz,Santiago,31.713793933445157,1550.0,3.0,2025-05-07,Moda,5333.713825433107
3,Sofía Muñoz,Santiago,31.713793933445157,1622.0,3.0,2025-09-29,Moda,5727.58868400175
4,Ignacio Muñoz,Concepción,30.958016388312885,104.0,4.0,2025-10-31,Hogar,3928.86337786633
4,Ignacio Muñoz,Concepción,30.958016388312885,465.0,4.0,2025-07-07,Electrónica,1971.112282169785
4,Ignacio Muñoz,Concepción,30.958016388312885,575.0,4.0,2025-03-21,Deportes,4025.481585737455
4,Ignacio Muñoz,Concepción,30.958016388312885,707.0,4.0,2025-04-13,Moda,3778.79169293291
4,Ignacio Muñoz,Concepción,30.958016388312885,1190.0,4.0,2025-02-27,Hogar,4264.507702039338
5,Daniela Soto,Santiago,42.43642358578975,303.0,5.0,2025-05-31,Electrónica,5518.528078462094
5,Daniela Soto,Santiago,42.43642358578975,1175.0,5.0,2025-01-02,Electrónica,5796.882555895215
5,Daniela Soto,Santiago,42.43642358578975,1279.0,5.0,2025-01-03,Deportes,7080.484852129794
5,Daniela Soto,Santiago,42.43642358578975,1532.0,5.0,2025-11-21,Moda,6703.309337404768
5,Daniela Soto,Santiago,42.43642358578975,1807.0,5.0,2025-11-10,Deportes,6774.679070435698
6,Lucas González,Santiago,39.07850433431244,1070.0,6.0,2025-11-21,Electrónica,4670.53697747261
6,Lucas González,Santiago,39.07850433431244,1763.0,6.0,2025-05-29,Electrónica,5973.98815750082
7,Mateo Díaz,Valparaíso,38.79257444773143,410.0,7.0,2025-12-06,Electrónica,13765.97246189891
7,Mateo Díaz,Valparaíso,38.79257444773143,790.0,7.0,2025-02-27,Electrónica,7517.56497868971
7,Mateo Díaz,Valparaíso,38.79257444773143,801.0,7.0,2025-03-14,Deportes,3096.903052501005
7,Mateo Díaz,Valparaíso,38.79257444773143,1121.0,7.0,2025-05-12,Hogar,3548.6503600154
7,Mateo Díaz,Valparaíso,38.79257444773143,1682.0,7.0,2025-12-04,Hogar,4499.660063015714
8,Daniela Pérez,Santiago,39.91794148794431,839.0,8.0,2025-10-01,Moda,4067.053874947687
8,Daniela Pérez,Santiago,39.91794148794431,889.0,8.0,2025-10-25,Moda,6700.37349363896
8,Daniela Pérez,Santiago,39.91794148794431,1038.0,8.0,2025-10-23,Deportes,4883.299046188933
9,Benjamín Díaz,Santiago,42.39361601602686,415.0,9.0,2025-08-08,,6855.155972034121
9,Benjamín Díaz,Santiago,42.39361601602686,478.0,9.0,2025-10-15,Moda,3327.135419817928
9,Benjamín Díaz,Santiago,42.39361601602686,1366.0,9.0,2025-03-29,Moda,2629.872024489842
9,Benjamín Díaz,Santiago,42.39361601602686,1624.0,9.0,2025-07-15,Hogar,6249.292451401263
10,Mateo Pérez,Antofagasta,18.0,233.0,10.0,2025-01-22,Hogar,4145.683337548599
10,Mateo Pérez,Antofagasta,18.0,1594.0,10.0,2025-05-31,Deportes,3688.028429870719
10,Mateo Pérez,Antofagasta,18.0,1652.0,10.0,2025-11-20,Deportes,2586.555469460404
11,Mateo Soto,,30.626740972826465,300.0,11.0,2025-02-07,Moda,7560.61381691912
11,Mateo Soto,,30.626740972826465,540.0,11.0,2025-06-26,Moda,7734.585437110645
11,Mateo Soto,,30.626740972826465,1167.0,11.0,2025-03-29,Moda,5385.139605024782
11,Mateo Soto,,30.626740972826465,1529.0,11.0,2025-10-11,Moda,8443.98023764168
12,Sofía Rojas,Concepción,18.0,170.0,12.0,2025-01-08,,4944.277258990162
12,Sofía Rojas,Concepción,18.0,272.0,12.0,2025-08-26,Deportes,5311.14011514423
12,Sofía Rojas,Concepción,18.0,369.0,12.0,2025-10-20,Electrónica,5023.487831096458
12,Sofía Rojas,Concepción,18.0,821.0,12.0,2025-06-10,Moda,14344.03554300248
